EVENT_ID,EVENT_YEAR,EVENT_DATE,EVENT_COUNTRY,EVENT_REGION,EVENT_CITY,ATTACK_SUCCESS_FLG,ATTACK_SUICIDE_FLG,TARGET_1_TYPE,TARGET_1_SUBTYPE,TARGET_1_GROUP_NAME,TARGET_1_NAME,TARGET_1_NATIONALITY,TARGET_2_TYPE,TARGET_2_SUBTYPE,TARGET_2_GROUP_NAME,TARGET_2_NAME,TARGET_2_NATIONALITY,TARGET_3_TYPE,TARGET_3_SUBTYPE,TARGET_3_GROUP_NAME,TARGET_3_NAME,TARGET_3_NATIONALITY,PERP_1_GROUP_NAME,PERP_1_SUBGROUP_NAME,PERP_2_GROUP_NAME,PERP_2_SUBGROUP_NAME,PERP_3_GROUP_NAME,PERP_3_SUBGROUP_NAME,PERP_TOTAL,PERP_TOTAL_GROUP,PERP_CUSTODY_TOTAL,PERP_CUSTODY_TOTAL_GROUP,PERP_CLAIMED_RESPONSIBILITY_FLG,PERP_CLAIM_MODE,WEAPON_1_TYPE,WEAPON_1_SUBTYPE,WEAPON_2_TYPE,WEAPON_2_SUBTYPE,WEAPON_3_TYPE,WEAPON_3_SUBTYPE,WEAPON_4_TYPE,WEAPON_4_SUBTYPE,WEAPON_DETAIL,KILLED_TOTAL,KILLED_TOTAL_GROUP,KILLED_US_TOTAL,KILLED_US_TOTAL_GROUP,KILLED_PERP_TOTAL,KILLED_PERP_TOTAL_GROUP,WOUNDED_TOTAL,WOUNDED_TOTAL_GROUP,WOUNDED_US_TOTAL,WOUNDED_US_TOTAL_GROUP,WOUNDED_PERP_TOTAL,WOUNDED_PERP_TOTAL_GROUP,PROPERTY_DAMAGE_RANGE,PROPERTY_DAMAGE_VALUE,PROPERTY_DAMAGE_DETAIL,HOSTAGE_FLG,HOSTAGE_TOTAL,HOSTAGE_TOTAL_GROUP,HOSTAGE_US_TOTAL,HOSTAGE_US_TOTAL_GROUP,HOSTAGE_RELEASED_TOTAL,HOSTAGE_RELEASED_TOTAL_GROUP,HOSTAGE_OUTCOME_DETAIL,DIVERSION_DESTINATION_COUNTRY,RESOLUTION_DESTINATION_COUNTRY,RANSOM_FLG,RANSOM_DEMANDED,RANSOM_DEMANDED_US,RANSOM_PAID,RANSOM_PAID_US,PERP_COUNTRY_ATTACK_COUNTRY_DIFFERENCE_FLG,PERP_NATIONALITY_TARGET_NATIONALITY_DIFFERENCE_FLG,TARGET_NATIONALITY_ATTACK_COUNTRY_DIFFERENCE_FLG,NATIONALITY_OR_COUNTRY_DIFFERENCE_FLG,ETL_TIMESTAMP
1.97E+11,1970,00:00.0,Iran,Middle East & North Africa,Tehran,1,0,Airports & Aircraft,Aircraft (not at an airport),Iran National Airline,B-727,Iran,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Iranians,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,0,0,0,NULL,NULL,NULL,NULL,NULL,1,44,40,0,0,NULL,NULL,Hostage(s) released by perpetrators,Iraq,Iraq,0,NULL,NULL,NULL,NULL,0,0,0,0,0x0000000000000947
1.97E+11,1971,00:00.0,Ethiopia,Sub-Saharan Africa,Bahar Dar,1,0,Airports & Aircraft,Aircraft (not at an airport),Ethiopian Airlines,DC-3,Ethiopia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Eritrean Liberation Front,Patrol Vessel,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,NULL,Libya,Libya,0,NULL,NULL,NULL,NULL,0,0,0,0,0x0000000000000948
1.97E+11,1971,00:00.0,Philippines,Southeast Asia,Manila,1,0,Airports & Aircraft,Aircraft (not at an airport),NULL,BAC-111,Philippines,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Students,NULL,NULL,NULL,NULL,NULL,6,10,NULL,NULL,NULL,NULL,Firearms,Handgun,NULL,NULL,NULL,NULL,NULL,NULL,Pistols,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,24,20,0,0,26,30,Hostage(s) released by perpetrators,China,China,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0x0000000000000949
1.97E+11,1971,00:00.0,Italy,Western Europe,Rome,1,0,Airports & Aircraft,Aircraft (not at an airport),NULL,EL AL Aircraft,Israel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Popular Front for the Liberation of Palestine (PFLP),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Explosives,Unknown Explosive Type,NULL,NULL,NULL,NULL,NULL,NULL,Explosive,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,Minor (likely < $1 million),5000,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,1,0x000000000000094A
1.97E+11,1971,00:00.0,Lebanon,Middle East & North Africa,Beirut,1,0,Airports & Aircraft,Aircraft (not at an airport),Alia,Caravelle,Jordan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Hostage(s) released by perpetrators,Libya,Libya,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0x000000000000094B
1.97E+11,1971,00:00.0,United States,North America,Detroit,0,0,Airports & Aircraft,Aircraft (not at an airport),American Airlines,American Airlines Flight 124,United States,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Black Liberation Army,NULL,NULL,NULL,NULL,NULL,1,0,1,0,1,Note left at scene,Explosives,Dynamite/TNT,Firearms,Handgun,NULL,NULL,NULL,NULL,Two sticks of dynamite and .25 caliber pistol,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,0,0,0x000000000000094C
1.97E+11,1971,00:00.0,Jordan,Middle East & North Africa,Amman,0,0,Airports & Aircraft,Aircraft (not at an airport),NULL,Jordanian airliners,Jordan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Al-Fatah,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Successful Rescue,NULL,Jordan,0,NULL,NULL,NULL,NULL,0,1,0,1,0x000000000000094D
1.97E+11,1972,00:00.0,Egypt,Middle East & North Africa,Cairo,0,0,Airports & Aircraft,Aircraft (not at an airport),NULL,Caravelle,Jordan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jordanian National Liberation Movement,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,Explosives,Grenade,NULL,NULL,NULL,NULL,NULL,NULL,Grenade,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Successful Rescue,Libya,Libya,0,NULL,NULL,NULL,NULL,0,1,1,1,0x000000000000094E
1.97E+11,1972,00:00.0,India,South Asia,New Delhi,1,0,Airports & Aircraft,Aircraft (not at an airport),Lufthansa,B-747,Germany,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Palestinians,NULL,NULL,NULL,NULL,NULL,5,10,NULL,NULL,NULL,NULL,Explosives,Unknown Explosive Type,NULL,NULL,NULL,NULL,NULL,NULL,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,187,190,0,0,187,190,Hostage(s) released by perpetrators,Yemen,Yemen,1,5000000,NULL,NULL,NULL,1,1,1,1,0x000000000000094F
1.97E+11,1972,00:00.0,Turkey,Middle East & North Africa,Ankara,1,0,Airports & Aircraft,Aircraft (not at an airport),Turkish Airlines,DC-9,Turkey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Turkish Leftists,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Grenades; Firearm,0,0,0,0,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,1,61,60,0,0,NULL,NULL,Hostage(s) released by perpetrators,Bulgaria,Bulgaria,0,NULL,NULL,NULL,NULL,0,0,0,0,0x0000000000000950
1.97E+11,1972,00:00.0,Austria,Western Europe,Vienna,1,0,Airports & Aircraft,Aircraft (not at an airport),Sabena Airlines,Boeing 707 Flight 572,Austria,Airports & Aircraft,NULL,Sabena Airlines,passengers,International,NULL,NULL,NULL,NULL,NULL,Black September,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Firearms,Automatic or Semi-Automatic Rifle,NULL,NULL,NULL,NULL,NULL,NULL,Automatic firearms,4,0,1,0,0,0,5,10,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,105,110,Hostage(s) released by perpetrators,Lod Airport in Israel,Lod Airport in Israel,0,NULL,NULL,NULL,NULL,1,1,1,1,0x0000000000000951
1.97E+11,1972,00:00.0,United States,North America,Seattle,1,0,Airports & Aircraft,Aircraft (not at an airport),Western Airlines,Jet,United States,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Black Panthers,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,Fake Weapons,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Fake bomb,0,0,0,0,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,United States,1,500000,NULL,NULL,NULL,0,0,0,0,0x0000000000000952
1.97E+11,1972,00:00.0,United States,North America,Miami,1,0,Airports & Aircraft,Aircraft (not at an airport),Delta,Airline,United States,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Black Panthers,NULL,NULL,NULL,NULL,NULL,5,10,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,United States,1,1000000,NULL,NULL,NULL,0,0,0,0,0x0000000000000953
1.97E+11,1972,00:00.0,Lebanon,Middle East & North Africa,Beirut,1,0,Airports & Aircraft,Aircraft (not at an airport),Al Yemda,DC-6,Yemen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,NULL,Libya,Libya,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0x0000000000000954
1.97E+11,1972,00:00.0,Sweden,Western Europe,Gothenburg,1,0,Airports & Aircraft,Aircraft (not at an airport),Scandinavian Airlines,NULL,Sweden,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Croatian Nationalists,NULL,NULL,NULL,NULL,NULL,3,0,NULL,NULL,NULL,NULL,Firearms,Unknown Gun Type,NULL,NULL,NULL,NULL,NULL,NULL,Gunmen attacked,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Hostage(s) released by perpetrators,Spain,Spain,1,105000,NULL,NULL,NULL,1,1,0,1,0x0000000000000955
1.97E+11,1972,00:00.0,Turkey,Middle East & North Africa,Istanbul,1,0,Airports & Aircraft,Aircraft (not at an airport),Turkish Airlines,B-707,Turkey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,2,0,NULL,NULL,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Hostage(s) released by perpetrators,Bulgaria,Bulgaria,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0x0000000000000956
1.97E+11,1972,00:00.0,Lebanon,Middle East & North Africa,Beirut,1,0,Airports & Aircraft,Aircraft (not at an airport),Lufthansa,B-727,Germany,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,2,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,20,20,0,0,NULL,NULL,NULL,Libya,Libya,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0x0000000000000957
1.97E+11,1972,00:00.0,Mexico,North America,Monterrey,1,0,Airports & Aircraft,Aircraft (not at an airport),Mexicana de Aviacion,B-727,Mexico,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Firearms,Automatic or Semi-Automatic Rifle,NULL,NULL,NULL,NULL,NULL,NULL,Automatic firearms,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,NULL,Cuba,Cuba,1,320000,NULL,NULL,NULL,NULL,NULL,0,NULL,0x0000000000000958
1.97E+11,1972,00:00.0,West Germany (FRG),Western Europe,Frankfurt,1,0,Airports & Aircraft,Aircraft (not at an airport),Air Canada,DC-8,Canada,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,1,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Successful Rescue,NULL,West Germany (FRG),0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0x0000000000000959
1.97E+11,1973,00:00.0,Venezuela,South America,Valera,1,0,Airports & Aircraft,Aircraft (not at an airport),Avensa,Convair-580,Venezuela,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Zero Point,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,40,40,0,0,NULL,NULL,Hostage(s) released by perpetrators,Cuba,Cuba,0,NULL,NULL,NULL,NULL,0,0,0,0,0x000000000000095A
1.97E+11,1973,00:00.0,Colombia,South America,Pereira,1,0,Airports & Aircraft,Aircraft (not at an airport),SAM,Electra,Colombia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,4,0,NULL,NULL,NULL,NULL,Explosives,Unknown Explosive Type,NULL,NULL,NULL,NULL,NULL,NULL,Explosive,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,140,140,0,0,82,80,Hostage(s) released by perpetrators,NULL,Colombia,1,200000,NULL,NULL,NULL,NULL,NULL,0,NULL,0x000000000000095B
1.97E+11,1973,00:00.0,United Kingdom,Western Europe,Belfast,1,0,Private Citizens & Property,Religion Identified,Bus,"Dorothy Lynn, 46, Protestant",Northern Ireland,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Irish Republican Army (IRA),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Incendiary,Arson/Fire,NULL,NULL,NULL,NULL,NULL,NULL,Burned,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Northern Ireland,0,NULL,NULL,NULL,NULL,0,0,1,1,0x000000000000095C
1.97E+11,1973,00:00.0,Argentina,South America,Buenos Aires,1,0,Airports & Aircraft,Aircraft (not at an airport),Aerolineas Argentinas,B-737,Argentina,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Hostage(s) released by perpetrators,Cuba,Cuba,1,200000,NULL,NULL,NULL,NULL,NULL,0,NULL,0x000000000000095D
1.97E+11,1973,00:00.0,Netherlands,Western Europe,Amsterdam,1,0,Airports & Aircraft,Aircraft (not at an airport),Japan Airlines,B-747,Japan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,5,10,NULL,NULL,NULL,NULL,Explosives,Unknown Explosive Type,NULL,NULL,NULL,NULL,NULL,NULL,Explosive,1,0,NULL,NULL,1,0,1,0,NULL,NULL,0,0,NULL,NULL,NULL,1,NULL,NULL,0,0,NULL,NULL,Hostage(s) released by perpetrators,Libya,Libya,0,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0x000000000000095E
